"GeneID"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"Gm11175"	-1.59828597578807	5.56363321215474	92.9890432082269	5.40273534777549e-22	3.39120163541019e-19
"Egfr"	1.83042798223496	7.6655991973854	105.721398339856	7.18404130922188e-22	4.45686227873157e-19
"Agap2"	1.99506329181747	3.70145072933439	91.331382118509	1.28152383721827e-21	7.85898175713866e-19
"Gprc5b"	-3.09432183719805	2.37267211572209	91.6694576144922	1.35648758164384e-21	8.22416840266405e-19
"5830462I19Rik"	1.72844606978322	4.41793750725111	90.6931105130383	1.79600848405185e-21	1.07665663651257e-18
"Tmem254c"	4.18948148267204	1.69145235831709	90.291125840324	2.10889437155177e-21	1.25017601561557e-18
"Bhlhe40"	-1.56489429556775	5.69852228038672	89.8169245609928	3.02193899009713e-21	1.77175286745772e-18
"C8b"	2.43587181820877	7.29436483171736	150.822472626558	7.13718241578087e-21	4.13902275466475e-18
"Gpx4"	-1.58953529160534	7.33365216429214	87.5844012994194	8.15044589899426e-21	4.67581440912947e-18
"Carmil1"	1.64853488115247	4.61113012511147	87.3012530967159	1.04872284927335e-20	5.95239469971076e-18
"Tubb2a"	-1.57976100504531	5.25507598697155	88.3608889251699	1.87917611341307e-20	1.05536508609398e-17
"Gm42375"	-7.9168615248856	0.950429371770114	86.2371477734789	2.0645249046397e-20	1.14738122122127e-17
"Hes1"	-1.95692001817063	3.62127777410807	84.9955740041171	3.2159549184831e-20	1.76887466768896e-17
"2010003K11Rik"	-1.50061220252747	6.0820175523976	82.8058508939947	9.1269083524332e-20	4.96885654415682e-17
"Gpc1"	-1.53653444981467	5.02878690660334	82.6561135532143	9.84487114805571e-20	5.30559000365875e-17
"Sqle"	-1.62715484102246	4.48740403581189	82.3545340349956	1.17816843952195e-19	6.28588207538145e-17
"Gadd45a"	-2.25593644659539	3.05447977687118	80.948394878436	2.33518538114975e-19	1.23355589743052e-16
"Aatk"	-1.82239222342151	4.01369684100945	85.2636481444347	2.89222557511982e-19	1.51283246185655e-16
"Lcn2"	-4.08748297390869	3.38982111259441	162.87516194572	2.95147422193632e-19	1.52883499187348e-16
"Ebpl"	-1.48324621189648	6.50839294322404	79.7967085148614	4.18167406273366e-19	2.14523900258682e-16
"Mgmt"	-1.53057807850126	4.78115324157241	79.1694196182178	5.74362403122519e-19	2.91847212321865e-16
"2900089D17Rik"	-1.54267695960289	4.70194919570455	78.8370669718532	6.79547996193573e-19	3.42037021140714e-16
"Cyp4a30b"	2.71901051307292	2.44088871612962	79.0809238089867	7.13091176531799e-19	3.55565920948608e-16
"Ctcflos"	1.4987044958804	7.16990636012791	78.9588902506473	7.28853382743792e-19	3.60060319717866e-16
"Iscu"	-1.46159994444806	6.61747670866995	77.2650126024804	1.50566822017894e-18	7.36990060102817e-16
"Sprr1a"	-7.74744956144856	0.795788009442319	77.5364959750028	1.59891837766932e-18	7.75519020034468e-16
"Gm30692"	-5.35164850983552	1.07185899495513	77.1600311989038	1.63834276303606e-18	7.87481994921287e-16
"Got1"	1.51261866560386	7.91612865446561	77.0759143942414	1.65689705854494e-18	7.89289542540609e-16
"Srd5a1"	1.44891178628411	6.29644104069157	76.9133207232879	1.81935878734647e-18	8.59011056471649e-16
"9030616G12Rik"	1.52618688876714	4.63412508795508	76.1321233941789	2.69407590784273e-18	1.2608511571152e-15
"9330111N05Rik"	-2.13531452141788	3.10550226940488	75.7503794964965	3.24116868192705e-18	1.50370497988568e-15
"A2ml1"	-1.78512147567841	3.68756959621804	74.416068667536	6.36946245922931e-18	2.92956836713156e-15
"Nlrp5-ps"	2.15154175135484	4.83521104312184	116.02662188412	7.51579304886411e-18	3.42726586782946e-15
"Fam25c"	-2.06333997186698	3.16146913311644	73.4821748027257	1.02210808454338e-17	4.62140107073247e-15
"Serpina3m"	1.49564444111173	8.55306795497333	73.179835087103	1.2048179799333e-17	5.40173560364547e-15
"1500011K16Rik"	-1.78582284101215	3.62494590036689	72.2098892083745	1.94701634680606e-17	8.65659692926197e-15
"Igfbp7"	-1.38538691466571	5.74366920655441	71.3465020589255	3.01530775157039e-17	1.32955135925236e-14
"Mrps34"	-1.41447799520778	5.09564289840724	71.2186161227943	3.28995548943005e-17	1.43876225596362e-14
"Lamtor4"	-1.38045816082663	5.72131353575295	70.788073120671	4.05344411916892e-17	1.75823905764243e-14
"Gm45053"	1.46797439802841	8.59285701970898	70.4815453882944	4.67379912166906e-17	2.01097745595491e-14
"Cd63"	-2.26366066949535	2.78815382735141	70.3573981569042	5.10890583897244e-17	2.18060362581357e-14
"Mif"	-1.37850437698411	6.11144984727551	70.3382248588831	5.22054570459468e-17	2.21056964267651e-14
"C920021L13Rik"	-1.81089958647605	3.52583483986895	70.534052394199	5.86631342023145e-17	2.46445212527251e-14
"Gsta4"	-1.43635186441961	4.71555782902231	69.1494875519064	9.18034520139123e-17	3.82655435570177e-14
"Gm15638"	1.3982141888392	7.02218688921399	69.5028152920271	1.01473274511161e-16	4.19682450774725e-14
